 5.83944055e+03 -6.81276003e+00  5.83944055e+03 -1.04664139e+01  5.83944055e+03 -1.04712302e+01 
 6.30539879e+03 -6.81272784e+00  6.30539879e+03 -1.04663959e+01  6.30539879e+03 -1.04712066e+01 
 6.80853818e+03 -6.81270045e+00  6.80853818e+03 -1.04663806e+01  6.80853818e+03 -1.04711865e+01 
 7.35182558e+03 -6.81267719e+00  7.35182558e+03 -1.04663676e+01  7.35182558e+03 -1.04711693e+01 
 7.93846460e+03 -6.81265751e+00  7.93846460e+03 -1.04663566e+01  7.93846460e+03 -1.04711547e+01 
 8.57191450e+03 -6.81264097e+00  8.57191450e+03 -1.04663474e+01  8.57191450e+03 -1.04711424e+01 
 9.25591054e+03 -6.81262716e+00  9.25591054e+03 -1.04663396e+01  9.25591054e+03 -1.04711321e+01 
 9.99448605e+03 -6.81261576e+00  9.99448605e+03 -1.04663333e+01  9.99448605e+03 -1.04711235e+01 
 1.07919962e+04 -6.81260650e+00  1.07919962e+04 -1.04663281e+01  1.07919962e+04 -1.04711163e+01 
 1.16531437e+04 -6.81259917e+00  1.16531437e+04 -1.04663239e+01  1.16531437e+04 -1.04711106e+01 
 1.25830065e+04 -6.81259360e+00  1.25830065e+04 -1.04663208e+01  1.25830065e+04 -1.04711060e+01 
 1.35870676e+04 -6.81258966e+00  1.35870676e+04 -1.04663186e+01  1.35870676e+04 -1.04711026e+01 
 1.46712479e+04 -6.81258727e+00  1.46712479e+04 -1.04663172e+01  1.46712479e+04 -1.04711002e+01 
 1.58419403e+04 -6.81258639e+00  1.58419403e+04 -1.04663167e+01  1.58419403e+04 -1.04710988e+01 
 1.71060482e+04 -6.81258700e+00  1.71060482e+04 -1.04663171e+01  1.71060482e+04 -1.04710984e+01 
 1.84710255e+04 -6.81258914e+00  1.84710255e+04 -1.04663183e+01  1.84710255e+04 -1.04710989e+01 
 1.99449213e+04 -6.81259290e+00  1.99449213e+04 -1.04663205e+01  1.99449213e+04 -1.04711005e+01 
 2.15364265e+04 -6.81259841e+00  2.15364265e+04 -1.04663237e+01  2.15364265e+04 -1.04711033e+01 
 2.32549260e+04 -6.81260586e+00  2.32549260e+04 -1.04663280e+01  2.32549260e+04 -1.04711072e+01 
 2.51105531e+04 -6.81261552e+00  2.51105531e+04 -1.04663338e+01  2.51105531e+04 -1.04711126e+01 
 2.71142501e+04 -6.81262774e+00  2.71142501e+04 -1.04663412e+01  2.71142501e+04 -1.04711197e+01 
 2.92778321e+04 -6.81264302e+00  2.92778321e+04 -1.04663505e+01  2.92778321e+04 -1.04711289e+01 
 3.16140571e+04 -6.81266200e+00  3.16140571e+04 -1.04663625e+01  3.16140571e+04 -1.04711406e+01 
 3.41367012e+04 -6.81268560e+00  3.41367012e+04 -1.04663776e+01  3.41367012e+04 -1.04711556e+01 
 3.68606398e+04 -6.81271507e+00  3.68606398e+04 -1.04663971e+01  3.68606398e+04 -1.04711749e+01 
 3.98019350e+04 -6.81275225e+00  3.98019350e+04 -1.04664225e+01  3.98019350e+04 -1.04712002e+01 
 4.29779310e+04 -6.81279993e+00  4.29779310e+04 -1.04664563e+01  4.29779310e+04 -1.04712340e+01 
 4.64073556e+04 -6.81286250e+00  4.64073556e+04 -1.04665027e+01  4.64073556e+04 -1.04712803e+01 
 5.01104312e+04 -6.81294745e+00  5.01104312e+04 -1.04665686e+01  5.01104312e+04 -1.04713462e+01 
 5.41089938e+04 -6.81306854e+00  5.41089938e+04 -1.04666674e+01  5.41089938e+04 -1.04714451e+01 
 5.84266217e+04 -6.81325372e+00  5.84266217e+04 -1.04668265e+01  5.84266217e+04 -1.04716043e+01 
 6.30887748e+04 -6.81356815e+00  6.30887748e+04 -1.04671104e+01  6.30887748e+04 -1.04718884e+01 
 6.81229444e+04 -6.81419616e+00  6.81229444e+04 -1.04677026e+01  6.81229444e+04 -1.04724810e+01 
 7.35588158e+04 -6.81584757e+00  7.35588158e+04 -1.04693116e+01  7.35588158e+04 -1.04740911e+01 
 7.94284425e+04 -6.82351518e+00  7.94284425e+04 -1.04769272e+01  7.94284425e+04 -1.04817104e+01 
 8.57664362e+04 -6.99447874e+00  8.57664362e+04 -1.06477904e+01  8.57664362e+04 -1.06526178e+01 
 9.26101702e+04 -6.82778412e+00  9.26101702e+04 -1.04810833e+01  9.26101702e+04 -1.04858586e+01 
 1.00000000e+05 -6.81687133e+00  1.00000000e+05 -1.04700944e+01  1.00000000e+05 -1.04748693e+01 
