 4.23297231e-05  4.20283348e-04  4.23297231e-05  4.24704806e-08  4.23297231e-05  4.39990320e-05  4.23297231e-05  4.39990320e-05 
 4.36018159e-05  4.32820873e-04  4.36018159e-05  4.78780519e-08  4.36018159e-05  4.39990320e-05  4.36018159e-05  4.39990320e-05 
 4.48039651e-05  4.44664092e-04  4.48039651e-05  5.35284219e-08  4.48039651e-05  4.39990320e-05  4.48039651e-05  4.39990320e-05 
 4.64059400e-05  4.60438800e-04  4.64059400e-05  5.71612445e-08  4.64059400e-05  4.39990320e-05  4.64059400e-05  4.39990320e-05 
 4.76517141e-05  4.72700083e-04  4.76517141e-05  5.58068447e-08  4.76517141e-05  4.39990320e-05  4.76517141e-05  4.39990320e-05 
 4.89704210e-05  4.85673568e-04  4.89704210e-05  5.15068147e-08  4.89704210e-05  4.39990320e-05  4.89704210e-05  4.39990320e-05 
 5.02394351e-05  4.98152714e-04  5.02394351e-05  4.70413391e-08  5.02394351e-05  4.39990320e-05  5.02394351e-05  4.39990320e-05 
 5.17795587e-05  5.13290692e-04  5.17795587e-05  4.45252862e-08  5.17795587e-05  4.39990320e-05  5.17795587e-05  4.39990320e-05 
 5.30298446e-05  5.25574042e-04  5.30298446e-05  4.56366563e-08  5.30298446e-05  4.39990320e-05  5.30298446e-05  4.39990320e-05 
 5.45263392e-05  5.40269429e-04  5.45263392e-05  4.93735539e-08  5.45263392e-05  4.39990320e-05  5.45263392e-05  4.39990320e-05 
 5.59041781e-05  5.53793061e-04  5.59041781e-05  5.27686018e-08  5.59041781e-05  4.39990320e-05  5.59041781e-05  4.39990320e-05 
 5.72488728e-05  5.66985308e-04  5.72488728e-05  5.41240135e-08  5.72488728e-05  4.39990320e-05  5.72488728e-05  4.39990320e-05 
 5.84900610e-05  5.79156774e-04  5.84900610e-05  5.31444120e-08  5.84900610e-05  4.39990320e-05  5.84900610e-05  4.39990320e-05 
 6.01631751e-05  5.95555759e-04  6.01631751e-05  4.99626434e-08  6.01631751e-05  4.39990320e-05  6.01631751e-05  4.39990320e-05 
 6.17025153e-05  6.10635373e-04  6.17025153e-05  4.74832067e-08  6.17025153e-05  4.39990320e-05  6.17025153e-05  4.39990320e-05 
 6.30831927e-05  6.24154029e-04  6.30831927e-05  4.69947386e-08  6.30831927e-05  4.39990320e-05  6.30831927e-05  4.39990320e-05 
 6.45347046e-05  6.38359447e-04  6.45347046e-05  4.83646645e-08  6.45347046e-05  4.39990320e-05  6.45347046e-05  4.39990320e-05 
 6.63377377e-05  6.55995373e-04  6.63377377e-05  5.08979652e-08  6.63377377e-05  4.39990320e-05  6.63377377e-05  4.39990320e-05 
 6.84834343e-05  6.76968977e-04  6.84834343e-05  5.21825501e-08  6.84834343e-05  4.39990320e-05  6.84834343e-05  4.39990320e-05 
 7.02807431e-05  6.94525483e-04  7.02807431e-05  5.12814783e-08  7.02807431e-05  4.39990320e-05  7.02807431e-05  4.39990320e-05 
 7.25393968e-05  7.16573388e-04  7.25393968e-05  4.93661006e-08  7.25393968e-05  4.39990320e-05  7.25393968e-05  4.39990320e-05 
 7.50038192e-05  7.40610716e-04  7.50038192e-05  4.86751304e-08  7.50038192e-05  4.39990320e-05  7.50038192e-05  4.39990320e-05 
 7.73166706e-05  7.63151456e-04  7.73166706e-05  4.95319150e-08  7.73166706e-05  4.39990320e-05  7.73166706e-05  4.39990320e-05 
 8.01010805e-05  7.90264576e-04  8.01010805e-05  5.06181685e-08  8.01010805e-05  4.39990320e-05  8.01010805e-05  4.39990320e-05 
 8.33075647e-05  8.21456041e-04  8.33075647e-05  5.05251752e-08  8.33075647e-05  4.39990320e-05  8.33075647e-05  4.39990320e-05 
 8.69991378e-05  8.57324431e-04  8.69991378e-05  4.98131205e-08  8.69991378e-05  4.39990320e-05  8.69991378e-05  4.39990320e-05 
 9.12591983e-05  8.98660831e-04  9.12591983e-05  4.97329239e-08  9.12591983e-05  4.39990320e-05  9.12591983e-05  4.39990320e-05 
 9.72866312e-05  9.57044906e-04  9.72866312e-05  5.00790478e-08  9.72866312e-05  4.39990320e-05  9.72866312e-05  4.39990320e-05 
 1.03475380e-04  1.01686793e-03  1.03475380e-04  5.00701055e-08  1.03475380e-04  4.39990320e-05  1.03475380e-04  4.39990320e-05 
 1.13475380e-04  1.11326814e-03  1.13475380e-04  4.99682554e-08  1.13475380e-04  4.39990320e-05  1.13475380e-04  4.39990320e-05 
 1.23475380e-04  1.20934316e-03  1.23475380e-04  4.99933752e-08  1.23475380e-04  4.39990320e-05  1.23475380e-04  4.39990320e-05 
 1.33475380e-04  1.30509402e-03  1.33475380e-04  5.00044142e-08  1.33475380e-04  4.39990320e-05  1.33475380e-04  4.39990320e-05 
 1.43475380e-04  1.40052180e-03  1.43475380e-04  4.99991658e-08  1.43475380e-04  4.39990320e-05  1.43475380e-04  4.39990320e-05 
 1.53475380e-04  1.49562758e-03  1.53475380e-04  4.99987993e-08  1.53475380e-04  4.39990320e-05  1.53475380e-04  4.39990320e-05 
 1.63475380e-04  1.59041244e-03  1.63475380e-04  4.99996133e-08  1.63475380e-04  4.39990320e-05  1.63475380e-04  4.39990320e-05 
 1.73475380e-04  1.68487747e-03  1.73475380e-04  4.99994985e-08  1.73475380e-04  4.39990320e-05  1.73475380e-04  4.39990320e-05 
 1.83475380e-04  1.77902375e-03  1.83475380e-04  4.99994083e-08  1.83475380e-04  4.39990320e-05  1.83475380e-04  4.39990320e-05 
 1.93475380e-04  1.87285234e-03  1.93475380e-04  4.99994430e-08  1.93475380e-04  4.39990320e-05  1.93475380e-04  4.39990320e-05 
 2.03475380e-04  1.96636433e-03  2.03475380e-04  4.99994478e-08  2.03475380e-04  4.39990320e-05  2.03475380e-04  4.39990320e-05 
 2.13475380e-04  2.05956079e-03  2.13475380e-04  4.99994426e-08  2.13475380e-04  4.39990320e-05  2.13475380e-04  4.39990320e-05 
 2.23475380e-04  2.15244277e-03  2.23475380e-04  4.99994428e-08  2.23475380e-04  4.39990320e-05  2.23475380e-04  4.39990320e-05 
 2.33475380e-04  2.24501134e-03  2.33475380e-04  4.99994430e-08  2.33475380e-04  4.39990320e-05  2.33475380e-04  4.39990320e-05 
 2.43475380e-04  2.33726755e-03  2.43475380e-04  4.99994437e-08  2.43475380e-04  4.39990320e-05  2.43475380e-04  4.39990320e-05 
 2.53475380e-04  2.42921246e-03  2.53475380e-04  4.99994433e-08  2.53475380e-04  4.39990320e-05  2.53475380e-04  4.39990320e-05 
 2.63475380e-04  2.52084712e-03  2.63475380e-04  4.99994435e-08  2.63475380e-04  4.39990320e-05  2.63475380e-04  4.39990320e-05 
 2.73475380e-04  2.61217258e-03  2.73475380e-04  4.99994434e-08  2.73475380e-04  4.39990320e-05  2.73475380e-04  4.39990320e-05 
 2.83475380e-04  2.70318988e-03  2.83475380e-04  4.99994443e-08  2.83475380e-04  4.39990320e-05  2.83475380e-04  4.39990320e-05 
