 3.00345176e-01 -1.58224185e-01  3.00345176e-01  4.97810593e+00  3.00345176e-01  4.97961079e+00  3.00345176e-01  2.48340533e+00  3.00345176e-01  8.52422600e-02  3.00345176e-01  4.97810550e+00  3.00345176e-01  1.99990910e+00  3.00345176e-01  4.39990320e-05 
 3.00350176e-01 -1.54156631e-01  3.00350176e-01  4.97810593e+00  3.00350176e-01  4.97961079e+00  3.00350176e-01  2.48340596e+00  3.00350176e-01  8.52422600e-02  3.00350176e-01  4.97810551e+00  3.00350176e-01  1.99990910e+00  3.00350176e-01  4.39990320e-05 
 3.00355176e-01 -1.49936138e-01  3.00355176e-01  4.97810593e+00  3.00355176e-01  4.97961079e+00  3.00355176e-01  2.48340658e+00  3.00355176e-01  8.52422600e-02  3.00355176e-01  4.97810551e+00  3.00355176e-01  1.99990910e+00  3.00355176e-01  4.39990320e-05 
 3.00360176e-01 -1.45566874e-01  3.00360176e-01  4.97810593e+00  3.00360176e-01  4.97961079e+00  3.00360176e-01  2.48340720e+00  3.00360176e-01  8.52422600e-02  3.00360176e-01  4.97810551e+00  3.00360176e-01  1.99990910e+00  3.00360176e-01  4.39990320e-05 
 3.00365176e-01 -1.41053149e-01  3.00365176e-01  4.97810593e+00  3.00365176e-01  4.97961079e+00  3.00365176e-01  2.48340783e+00  3.00365176e-01  8.52422600e-02  3.00365176e-01  4.97810550e+00  3.00365176e-01  1.99990910e+00  3.00365176e-01  4.39990320e-05 
 3.00370176e-01 -1.36399418e-01  3.00370176e-01  4.97810593e+00  3.00370176e-01  4.97961079e+00  3.00370176e-01  2.48340845e+00  3.00370176e-01  8.52422600e-02  3.00370176e-01  4.97810550e+00  3.00370176e-01  1.99990910e+00  3.00370176e-01  4.39990320e-05 
 3.00375176e-01 -1.31610274e-01  3.00375176e-01  4.97810593e+00  3.00375176e-01  4.97961079e+00  3.00375176e-01  2.48340907e+00  3.00375176e-01  8.52422600e-02  3.00375176e-01  4.97810551e+00  3.00375176e-01  1.99990910e+00  3.00375176e-01  4.39990320e-05 
 3.00380176e-01 -1.26690443e-01  3.00380176e-01  4.97810593e+00  3.00380176e-01  4.97961079e+00  3.00380176e-01  2.48340970e+00  3.00380176e-01  8.52422600e-02  3.00380176e-01  4.97810551e+00  3.00380176e-01  1.99990910e+00  3.00380176e-01  4.39990320e-05 
 3.00385176e-01 -1.21644781e-01  3.00385176e-01  4.97810593e+00  3.00385176e-01  4.97961079e+00  3.00385176e-01  2.48341032e+00  3.00385176e-01  8.52422600e-02  3.00385176e-01  4.97810550e+00  3.00385176e-01  1.99990910e+00  3.00385176e-01  4.39990320e-05 
 3.00390176e-01 -1.16478268e-01  3.00390176e-01  4.97810593e+00  3.00390176e-01  4.97961079e+00  3.00390176e-01  2.48341095e+00  3.00390176e-01  8.52422600e-02  3.00390176e-01  4.97810550e+00  3.00390176e-01  1.99990910e+00  3.00390176e-01  4.39990320e-05 
 3.00395176e-01 -1.11196001e-01  3.00395176e-01  4.97810593e+00  3.00395176e-01  4.97961079e+00  3.00395176e-01  2.48341157e+00  3.00395176e-01  8.52422600e-02  3.00395176e-01  4.97810551e+00  3.00395176e-01  1.99990910e+00  3.00395176e-01  4.39990320e-05 
 3.00400176e-01 -1.05803195e-01  3.00400176e-01  4.97810593e+00  3.00400176e-01  4.97961079e+00  3.00400176e-01  2.48341220e+00  3.00400176e-01  8.52422600e-02  3.00400176e-01  4.97810551e+00  3.00400176e-01  1.99990910e+00  3.00400176e-01  4.39990320e-05 
 3.00405176e-01 -1.00305171e-01  3.00405176e-01  4.97810593e+00  3.00405176e-01  4.97961079e+00  3.00405176e-01  2.48341283e+00  3.00405176e-01  8.52422600e-02  3.00405176e-01  4.97810551e+00  3.00405176e-01  1.99990910e+00  3.00405176e-01  4.39990320e-05 
 3.00410176e-01 -9.47073545e-02  3.00410176e-01  4.97810593e+00  3.00410176e-01  4.97961079e+00  3.00410176e-01  2.48341345e+00  3.00410176e-01  8.52422600e-02  3.00410176e-01  4.97810550e+00  3.00410176e-01  1.99990910e+00  3.00410176e-01  4.39990320e-05 
 3.00415176e-01 -8.90152712e-02  3.00415176e-01  4.97810593e+00  3.00415176e-01  4.97961079e+00  3.00415176e-01  2.48341408e+00  3.00415176e-01  8.52422600e-02  3.00415176e-01  4.97810551e+00  3.00415176e-01  1.99990910e+00  3.00415176e-01  4.39990320e-05 
 3.00420176e-01 -8.32345379e-02  3.00420176e-01  4.97810593e+00  3.00420176e-01  4.97961079e+00  3.00420176e-01  2.48341471e+00  3.00420176e-01  8.52422600e-02  3.00420176e-01  4.97810551e+00  3.00420176e-01  1.99990910e+00  3.00420176e-01  4.39990320e-05 
 3.00425176e-01 -7.73708598e-02  3.00425176e-01  4.97810593e+00  3.00425176e-01  4.97961079e+00  3.00425176e-01  2.48341534e+00  3.00425176e-01  8.52422600e-02  3.00425176e-01  4.97810551e+00  3.00425176e-01  1.99990910e+00  3.00425176e-01  4.39990320e-05 
 3.00430176e-01 -7.14300235e-02  3.00430176e-01  4.97810593e+00  3.00430176e-01  4.97961079e+00  3.00430176e-01  2.48341597e+00  3.00430176e-01  8.52422600e-02  3.00430176e-01  4.97810551e+00  3.00430176e-01  1.99990910e+00  3.00430176e-01  4.39990320e-05 
 3.00435176e-01 -6.54178922e-02  3.00435176e-01  4.97810593e+00  3.00435176e-01  4.97961079e+00  3.00435176e-01  2.48341660e+00  3.00435176e-01  8.52422600e-02  3.00435176e-01  4.97810551e+00  3.00435176e-01  1.99990910e+00  3.00435176e-01  4.39990320e-05 
