 3.00026500e-01 -4.80253297e-02  3.00026500e-01  4.97372924e+00  3.00026500e-01  4.97600884e+00  3.00026500e-01  2.48157130e+00  3.00026500e-01  8.51669780e-02  3.00026500e-01  4.97372882e+00  3.00026500e-01  1.99990910e+00  3.00026500e-01  4.39990320e-05 
 3.00027500e-01 -4.92657836e-02  3.00027500e-01  4.97372924e+00  3.00027500e-01  4.97600884e+00  3.00027500e-01  2.48157143e+00  3.00027500e-01  8.51669780e-02  3.00027500e-01  4.97372882e+00  3.00027500e-01  1.99990910e+00  3.00027500e-01  4.39990320e-05 
 3.00028500e-01 -5.05042602e-02  3.00028500e-01  4.97372924e+00  3.00028500e-01  4.97600884e+00  3.00028500e-01  2.48157156e+00  3.00028500e-01  8.51669780e-02  3.00028500e-01  4.97372882e+00  3.00028500e-01  1.99990910e+00  3.00028500e-01  4.39990320e-05 
 3.00029500e-01 -5.17407107e-02  3.00029500e-01  4.97372924e+00  3.00029500e-01  4.97600884e+00  3.00029500e-01  2.48157169e+00  3.00029500e-01  8.51669780e-02  3.00029500e-01  4.97372882e+00  3.00029500e-01  1.99990910e+00  3.00029500e-01  4.39990320e-05 
 3.00030500e-01 -5.29750863e-02  3.00030500e-01  4.97372924e+00  3.00030500e-01  4.97600884e+00  3.00030500e-01  2.48157181e+00  3.00030500e-01  8.51669780e-02  3.00030500e-01  4.97372882e+00  3.00030500e-01  1.99990910e+00  3.00030500e-01  4.39990320e-05 
 3.00031500e-01 -5.42073381e-02  3.00031500e-01  4.97372924e+00  3.00031500e-01  4.97600884e+00  3.00031500e-01  2.48157194e+00  3.00031500e-01  8.51669780e-02  3.00031500e-01  4.97372882e+00  3.00031500e-01  1.99990910e+00  3.00031500e-01  4.39990320e-05 
 3.00032500e-01 -5.54374177e-02  3.00032500e-01  4.97372924e+00  3.00032500e-01  4.97600884e+00  3.00032500e-01  2.48157207e+00  3.00032500e-01  8.51669780e-02  3.00032500e-01  4.97372882e+00  3.00032500e-01  1.99990910e+00  3.00032500e-01  4.39990320e-05 
 3.00033500e-01 -5.66652763e-02  3.00033500e-01  4.97372924e+00  3.00033500e-01  4.97600884e+00  3.00033500e-01  2.48157220e+00  3.00033500e-01  8.51669780e-02  3.00033500e-01  4.97372882e+00  3.00033500e-01  1.99990910e+00  3.00033500e-01  4.39990320e-05 
 3.00034500e-01 -5.78908656e-02  3.00034500e-01  4.97372924e+00  3.00034500e-01  4.97600884e+00  3.00034500e-01  2.48157232e+00  3.00034500e-01  8.51669780e-02  3.00034500e-01  4.97372882e+00  3.00034500e-01  1.99990910e+00  3.00034500e-01  4.39990320e-05 
 3.00035500e-01 -5.91141371e-02  3.00035500e-01  4.97372924e+00  3.00035500e-01  4.97600884e+00  3.00035500e-01  2.48157245e+00  3.00035500e-01  8.51669780e-02  3.00035500e-01  4.97372882e+00  3.00035500e-01  1.99990910e+00  3.00035500e-01  4.39990320e-05 
