 4.68848201e-04 -2.19787569e-02  4.68848201e-04 -5.31388055e-03  4.68848201e-04  2.80651546e-02 
 4.73848201e-04 -4.82821004e-03  4.73848201e-04  1.18383936e-02  4.73848201e-04  5.41721364e-02 
 4.78848201e-04  1.24342322e-02  4.78848201e-04  2.90931986e-02  4.78848201e-04  8.04149358e-02 
 4.83848201e-04  2.96633507e-02  4.83848201e-04  4.63053411e-02  4.83848201e-04  1.06571081e-01 
 4.88848201e-04  4.69384131e-02  4.88848201e-04  6.35540616e-02  4.88848201e-04  1.32759521e-01 
 4.93848201e-04  6.43112199e-02  4.93848201e-04  8.08911254e-02  4.93848201e-04  1.59061223e-01 
 4.98848201e-04  8.16333421e-02  4.98848201e-04  9.81681473e-02  4.98848201e-04  1.85250637e-01 
 5.03848201e-04  9.88987109e-02  5.03848201e-04  1.15379087e-01  5.03848201e-04  2.11316201e-01 
 5.08848201e-04  1.16211557e-01  5.08848201e-04  1.32628161e-01  5.08848201e-04  2.37417690e-01 
 5.13848201e-04  1.33475150e-01  5.13848201e-04  1.49818685e-01  5.13848201e-04  2.63409572e-01 
 5.18848201e-04  1.50603138e-01  5.18848201e-04  1.66864386e-01  5.18848201e-04  2.89158653e-01 
 5.23848201e-04  1.67696682e-01  5.23848201e-04  1.83866445e-01  5.23848201e-04  3.14818588e-01 
 5.28848201e-04  1.84738505e-01  5.28848201e-04  2.00807635e-01  5.28848201e-04  3.40365442e-01 
 5.33848201e-04  2.01599603e-01  5.33848201e-04  2.17559061e-01  5.33848201e-04  3.65602278e-01 
 5.38848201e-04  2.18330005e-01  5.38848201e-04  2.34170822e-01  5.38848201e-04  3.90603961e-01 
 5.43848201e-04  2.34983795e-01  5.43848201e-04  2.50697061e-01  5.43848201e-04  4.15454771e-01 
 5.48848201e-04  2.51440728e-01  5.48848201e-04  2.67017655e-01  5.48848201e-04  4.39972607e-01 
 5.53848201e-04  2.67677985e-01  5.53848201e-04  2.83109906e-01  5.53848201e-04  4.64121144e-01 
 5.58848201e-04  2.83784552e-01  5.58848201e-04  2.99062881e-01  5.58848201e-04  4.88036854e-01 
 5.63848201e-04  2.99691252e-01  5.63848201e-04  3.14807531e-01  5.63848201e-04  5.11616377e-01 
 5.68848201e-04  3.15313437e-01  5.68848201e-04  3.30259368e-01  5.68848201e-04  5.34729920e-01 
 5.73848201e-04  3.30728162e-01  5.73848201e-04  3.45495563e-01  5.73848201e-04  5.57494617e-01 
 5.78848201e-04  3.45934271e-01  5.78848201e-04  3.60515094e-01  5.78848201e-04  5.79911030e-01 
 5.83848201e-04  3.60820825e-01  5.83848201e-04  3.75207204e-01  5.83848201e-04  6.01810421e-01 
 5.88848201e-04  3.75416447e-01  5.88848201e-04  3.89600677e-01  5.88848201e-04  6.23235523e-01 
 5.93848201e-04  3.89775211e-01  5.93848201e-04  4.03749729e-01  5.93848201e-04  6.44270487e-01 
 5.98848201e-04  4.03802834e-01  5.98848201e-04  4.17560273e-01  5.98848201e-04  6.64773156e-01 
 6.03848201e-04  4.17467196e-01  6.03848201e-04  4.31000389e-01  6.03848201e-04  6.84693713e-01 
 6.08848201e-04  4.30843781e-01  6.08848201e-04  4.44145724e-01  6.08848201e-04  7.04148046e-01 
 6.13848201e-04  4.43886654e-01  6.13848201e-04  4.56950544e-01  6.13848201e-04  7.23068330e-01 
 6.18848201e-04  4.56517522e-01  6.18848201e-04  4.69336786e-01  6.18848201e-04  7.41335122e-01 
 6.23848201e-04  4.68794559e-01  6.23848201e-04  4.81362818e-01  6.23848201e-04  7.59037021e-01 
 6.28848201e-04  4.80728952e-01  6.28848201e-04  4.93040029e-01  6.28848201e-04  7.76193312e-01 
 6.33848201e-04  4.92228644e-01  6.33848201e-04  5.04276609e-01  6.33848201e-04  7.92664551e-01 
 6.38848201e-04  5.03307620e-01  6.38848201e-04  5.15086775e-01  6.38848201e-04  8.08471609e-01 
 6.43848201e-04  5.14018770e-01  6.43848201e-04  5.25523625e-01  6.43848201e-04  8.23696733e-01 
 6.48848201e-04  5.24291404e-01  6.48848201e-04  5.35516724e-01  6.48848201e-04  8.38233978e-01 
 6.53848201e-04  5.34090002e-01  6.53848201e-04  5.45030810e-01  6.53848201e-04  8.52028906e-01 
 6.58848201e-04  5.43478720e-01  6.58848201e-04  5.54130269e-01  6.58848201e-04  8.65180162e-01 
 6.63848201e-04  5.52431171e-01  6.63848201e-04  5.62788965e-01  6.63848201e-04  8.77649731e-01 
 6.68848201e-04  5.60878618e-01  6.68848201e-04  5.70938442e-01  6.68848201e-04  8.89333248e-01 
 6.73848201e-04  5.68865134e-01  6.73848201e-04  5.78623023e-01  6.73848201e-04  9.00298034e-01 
 6.78848201e-04  5.76411378e-01  6.78848201e-04  5.85863621e-01  6.78848201e-04  9.10577692e-01 
 6.83848201e-04  5.83444131e-01  6.83848201e-04  5.92587305e-01  6.83848201e-04  9.20061840e-01 
 6.88848201e-04  5.89968330e-01  6.88848201e-04  5.98799287e-01  6.88848201e-04  9.28757917e-01 
 6.93848201e-04  5.96035185e-01  6.93848201e-04  6.04551035e-01  6.93848201e-04  9.36745504e-01 
 6.98848201e-04  6.01595113e-01  6.98848201e-04  6.09793253e-01  6.98848201e-04  9.43950939e-01 
 7.03848201e-04  6.06613608e-01  7.03848201e-04  6.14491729e-01  7.03848201e-04  9.50321757e-01 
 7.08848201e-04  6.11145736e-01  7.08848201e-04  6.18701798e-01  7.08848201e-04  9.55942739e-01 
 7.13848201e-04  6.15181398e-01  7.13848201e-04  6.22413641e-01  7.13848201e-04  9.60800629e-01 
 7.18848201e-04  6.18663333e-01  7.18848201e-04  6.25570302e-01  7.18848201e-04  9.64808894e-01 
 7.23848201e-04  6.21625601e-01  7.23848201e-04  6.28206126e-01  7.23848201e-04  9.68019753e-01 
 7.28848201e-04  6.24096079e-01  7.28848201e-04  6.30349261e-01  7.28848201e-04  9.70477628e-01 
 7.33848201e-04  6.26019595e-01  7.33848201e-04  6.31944842e-01  7.33848201e-04  9.72099832e-01 
 7.38848201e-04  6.27396393e-01  7.38848201e-04  6.32993408e-01  7.38848201e-04  9.72886902e-01 
 7.43848201e-04  6.28275844e-01  7.43848201e-04  6.33544605e-01  7.43848201e-04  9.72915472e-01 
 7.48848201e-04  6.28626858e-01  7.48848201e-04  6.33567638e-01  7.48848201e-04  9.72140040e-01 
 7.53848201e-04  6.28418973e-01  7.53848201e-04  6.33032348e-01  7.53848201e-04  9.70514586e-01 
 7.58848201e-04  6.27700167e-01  7.58848201e-04  6.31986991e-01  7.58848201e-04  9.68113026e-01 
 7.63848201e-04  6.26473667e-01  7.63848201e-04  6.30435077e-01  7.63848201e-04  9.64942249e-01 
 7.68848201e-04  6.24694465e-01  7.68848201e-04  6.28331901e-01  7.68848201e-04  9.60934580e-01 
 7.73848201e-04  6.22389880e-01  7.73848201e-04  6.25705064e-01  7.73848201e-04  9.56132023e-01 
 7.78848201e-04  6.19593093e-01  7.78848201e-04  6.22588018e-01  7.78848201e-04  9.50586849e-01 
 7.83848201e-04  6.16265553e-01  7.83848201e-04  6.18942505e-01  7.83848201e-04  9.44241732e-01 
 7.88848201e-04  6.12405953e-01  7.88848201e-04  6.14767505e-01  7.88848201e-04  9.37094977e-01 
 7.93848201e-04  6.08061734e-01  7.93848201e-04  6.10110720e-01  7.93848201e-04  9.29220065e-01 
 7.98848201e-04  6.03217544e-01  7.98848201e-04  6.04957077e-01  7.98848201e-04  9.20595342e-01 
 8.03848201e-04  5.97848745e-01  8.03848201e-04  5.99282219e-01  8.03848201e-04  9.11183785e-01 
 8.08848201e-04  5.91997807e-01  8.08848201e-04  5.93128875e-01  8.08848201e-04  9.01050790e-01 
 8.13848201e-04  5.85678487e-01  8.13848201e-04  5.86511060e-01  8.13848201e-04  8.90219038e-01 
 8.18848201e-04  5.78857835e-01  8.18848201e-04  5.79396094e-01  8.18848201e-04  8.78639252e-01 
 8.23848201e-04  5.71558800e-01  8.23848201e-04  5.71807184e-01  8.23848201e-04  8.66346751e-01 
 8.28848201e-04  5.63818132e-01  8.28848201e-04  5.63781317e-01  8.28848201e-04  8.53398935e-01 
 8.33848201e-04  5.55611935e-01  8.33848201e-04  5.55294852e-01  8.33848201e-04  8.39760702e-01 
